Address,LAT,LONG,Price_per_perch,Road,City,School,Hospital,index
,6.785043774,79.93960102,9.62,750.00,1207.00,2554.00,2839.00,220
,6.786000917,79.93581959,8.58,260.00,1224.00,2176.00,2493.00,221
,6.784037545,79.93708006,8.08,800.00,1374.00,2431.00,2752.00,222
,6.784258424,79.93347164,9.34,170.00,1521.00,2159.00,2520.00,223
Kahapola,6.757213327,79.93040102,7.79,240.00,1078.00,4858.00,5197.00,224
,6.753896966,79.93049067,8.46,320.00,1447.00,5223.00,5363.00,225
,6.753919223,79.92703906,8.71,270.00,1499.00,5167.00,5415.00,226
,6.752405709,79.92775628,6.63,350.00,1645.00,5343.00,4990.00,227
,6.750691871,79.93073722,7.76,300.00,1803.00,5579.00,5920.00,228
Mampe South,6.79563831,79.92755483,8.78,400.00,868.00,770.00,993.00,229
,6.795531775,79.92909978,8.40,260.00,992.00,914.00,1096.00,230
,6.793514576,79.92725216,9.01,530.00,1047.00,919.00,1291.00,231
,6.792340643,79.93114344,6.53,560.00,1138.00,1312.00,1617.00,232
Kesbewa East,6.791575928,79.93919958,11.49,240.00,504.00,2109.00,2307.00,233
,6.792896967,79.93688215,10.92,300.00,541.00,1812.00,2013.00,234
,6.791235014,79.94196762,13.99,110.00,528.00,2403.00,2579.00,235
,6.793195265,79.94293321,14.28,140.00,380.00,2423.00,2557.00,236
,6.793323107,79.94166721,12.93,100.00,296.00,2285.00,2427.00,237
Mavittara South,6.795841962,79.94260368,13.92,160.00,205.00,2311.00,1796.00,238
,6.796310714,79.94408426,13.55,250.00,374.00,2463.00,2530.00,239
,6.800273779,79.94075832,13.90,400.00,495.00,2056.00,2049.00,240
,6.802489673,79.94256076,9.33,350.00,768.00,2272.00,2211.00,241
,6.801658714,79.93925628,10.00,170.00,670.00,1897.00,1856.00,242
,6.803511025,79.93335906,14.32,180.00,805.00,1289.00,1081.00,243
,6.803148813,79.93451777,12.15,240.00,940.00,1403.00,1313.00,244
,6.805876048,79.93479672,10.42,450.00,942.00,1533.00,1351.00,245
,6.807090516,79.93353072,13.33,270.00,823.00,1473.00,1240.00,246
Mampe East,6.806153032,79.93142787,15.96,300.00,572.00,1220.00,887.00,247
,6.815158927,79.92134533,13.82,350.00,543.00,1677.00,831.00,248
,6.815755496,79.92190323,11.26,350.00,549.00,1741.00,898.00,249
Bokundara,6.817459975,79.91992912,13.88,190.00,262.00,1948.00,1100.00,250
